550,1582734700-1057,https://www.debate.org/opinions/should-abortion-be-illegal,"All baby's should have a chance to have a beautiful life full of love and excitement, no matter what they're parents think. This a serious problem that really really needs to be resolved stat! If it does not happen In think that murder will soon become legal as it is the exact same thing! Please save the baby's!",Abortion is wrong!,against,[16]
2113,1582734972-2064,https://www.debate.org/opinions/should-abortion-be-illegal,"As you may very well know, what someone does is between them and God so your arguments using religion are invalid. In certain situations an abortion is NECESSARY. I know someone that would have died if she were to have the child she was bearing (she wanted the child. But because of cancer she had to choose between dying and her child potentially not making it either or to live and take care of the child she already had). If it’s for convenience, then it probably shouldn’t be done but as humans (that’s all that each of you are) you have to place or right to judge. That is God’s job. Not. Yours.",Who are we to judge?,for,[7]
936,1582734700-1191,https://www.debate.org/opinions/should-abortion-be-illegal,"That baby did not ask to be created . If you are willing to lay down and have sex then you should take the responsibility of raising the child you create not killing it because you don't want him or her, don't take your anger out on a baby who isn't born and did not ask for it.",Its murdering a baby,against,[25]
815,1582734815-1587,https://www.debate.org/opinions/is-abortion-wrong,It is illegal to kill a human outside of the womb. If I were to walk out onto the street and murder someone right now I would be sent to jail for a very long time however it is legal to murder a human inside the womb and then the woman who agreed to the abortion doesn't face any consequences. They have to go to jail even though they killed a human weather its 2 weeks old or 2 months old. There are women out there including myself who have miscarried and I'm facing problems with conceiving but women can just go out and murder a blessing. A life. I don't not agree with miscarriage,We are all humans!,against,[16]
391,1582734815-1670,https://www.debate.org/opinions/is-abortion-wrong,"https://youtu.be/Yx3jACKqTqs
Tell me that's not a human being struggling to survive. Abortion is murder plain and simple. The fetus is alive at that point, and can move. If you believe in souls than around that time ( 3 months )is when I think it is developed. At the very least if not a soul then at 3 months it's pretty much a living being",I saw a video of a 3 month fetus,against,[16]
65,1582733989-573,https://www.debate.org/opinions/should-abortion-be-legal,"Abortion should not be legal because then that would mean your taking away another humans life, imagine if your mother did that, you wouldn't be here right now. Just think about it, that baby could have an amazing life.   Even if your a teen you could still birth that baby and then give it up for adoption, at least let the baby have a life.",Abortion should not be legal,against,[16]
2187,1582735052-2504,https://www.debate.org/opinions/is-abortion-wrong,"In every state there's a safe haven law that allows one to leave her baby at any hospital, fire department, ems provider, or police department with no questions asked. The length is different from state to state with some being within 3 days of birth to up to an entire year. For the ones that say abortion is wrong, I want you to go to any of the agencies I listed above and allow newborns to be placed outside your doorstep as well since you will obviously adopt. If not, allow them to have their abortions that'll affect their life, not yours.","To the ones that say yes, I have a suggestion...",for,[2]
1881,1582735052-2542,https://www.debate.org/opinions/is-abortion-wrong,"People are creating this silly excuse that, ""It's wrong to abort a fetus because they could become something beautiful one day. That baby you terminate could become the president and cure cancer!"" No! The baby is not going to cure cancer and not going to become president. There are lot's of statistics that show that children with terrible upbringing's don't go far in life. If you're forced to have a child you don't want, then how are you going to give that child an upbringing that is good enough to make them a genius who cures cancer? It's not going to happen. You cannot force people to live with something they do not want. Women are in control of their lives and their bodies. Better aborting a child, than a woman having to kill herself and the child as she see's it's the only way out of the misery it would cause.",Abortion is right!!,for,[2]
618,1582734815-1669,https://www.debate.org/opinions/is-abortion-wrong,"When a person is killed it is considered murder. Some people think that abortion is not murder, simply termination. Then why is it that if a pregnant woman is killed, it is considered a double homicide. It is murder. It is also violates civil rights. Abortion is just not right.",Abortion is murder.,against,[16]
302,1582733989-649,https://www.debate.org/opinions/should-abortion-be-legal,You are Killing a baby! What if that baby was YOU. Its not the babies fault the dude couldn't pull out or wear a condom. I can see its ok if the mother is really not able to have the baby and could die if she goes through. It says in the bible to not murder. I hope when you stand infront of God someday he tells you it was okay to kill that person.,Abortion is a sick thing,against,[19]
