1110,1582734815-1533,https://www.debate.org/opinions/is-abortion-wrong,"Health reasons. Even though abortion is legal, it is not regulated. A total of 347 women have died form legal abortion since 1973. Also a study lead by Dr. Janet Dailing, an abortin supporter found, a link between abortions and cancer. Her and her colleagues said that women that have abortions are 50% higher to have breast cancer than amoung other womem who have not had an aborion.",Bad for health,against,[7]

177,1582733989-637,https://www.debate.org/opinions/should-abortion-be-legal,"In an era of great selfishness, it is not surprising that many people are willing to compromise morality for their own convenience. If you had sex, there is a probability you will get pregnant. It is as easy as that. If you don't want the burden of a baby than use protection or better yet don't have sex. But once you are pregnant, you have the moral responsibility to protect that baby against all cost and against all peril and complications. That baby is yours and religion aside and moral relativism aside, it is homicide to kill another human being and the same can be said about foetuses. Moreover, I know that there are women how get pregnant from rape. This is very unfortunate obviously but I do believe that these women should separate the baby from the rapist. The baby is innocent and as painful as it may be, he or she deserves a chance in life. Abortion is an issue not about the mother but about the baby.",Step out of your bubble,against,[25]

294,1582733949-488,https://www.debate.org/opinions/is-abortion-moral,"Except for these circumstances, most of abortions are from teenagers and women who think it's ok to go around having meaningless sex with people who they aren't   married to. It's absolutely disgusting to see women with loose morals spreading diseases and killing their unwanted children. I don't know why these people can't understand that having sex is a sacred act, and that they should be joyful they are capable of having children instead of letting THEIR OWN CHILD be pulled apart and removed from their womb. Many people are the children of women and men who had wished they had aborted. Having grown up, how would they feel knowing THEIR OWN PARENTS had wanted them to be butchered before birth?","Unless the baby will be stillborn, it will kill the mother, or rape, it's just like any other murder",against,[16]

1973,1582735052-2646,https://www.debate.org/opinions/is-abortion-wrong,"Say what you want about a fetus being ""alive"" at the time of the abortion but everything should be the woman's decision. Frankly, it's no one's business what she does with the fetus. I find that laws passed on this are comparable to early America- Great Britain would pass laws in America despite the two countries being separated. In essence, any laws or even opinions on abortion not of the woman in question ought to be regarded as irrelevant because a woman's body is not property.","Even if it was ""wrong"" it should not matter what anyone says",for,[2]

2399,1580224689-12,https://www.debate.org/opinions/do-women-have-the-right-to-abortion,"It's not your body. Why can't I have a say in whether or not my body is changed drastically? It is my body! NOT YOURS. Why would you care? If I'm going to hell for having an abortion, I'll meet you there for judging and prosecuting me. It's my body. Not yours.",It's our bodies,for,[2]

